Name,ID,Subname,Description,Link,Image
The Sad Onion,1,Tears up,Increases Tears by 0.7.,https://bindingofisaacrebirth.gamepedia.com/The_Sad_Onion,../assets/images/1.png
The Inner Eye,2,Triple shot,Grants triple shot but decreases tears.,https://bindingofisaacrebirth.gamepedia.com/The_Inner_Eye,../assets/images/2.png
Spoon Bender,3,Homing shots,Grants Isaac homing tears.,https://bindingofisaacrebirth.gamepedia.com/Spoon_Bender,../assets/images/3.png
Cricket's Head,4,DMG up,"Increases damage by 0.5, and multiplies it by 1.5x.",https://bindingofisaacrebirth.gamepedia.com/Cricket%27s_Head,../assets/images/4.png
My Reflection,5,Boomerang tears,"Gives Isaac's tears a boomerang effect, and increases range and shot speed.",https://bindingofisaacrebirth.gamepedia.com/My_Reflection,../assets/images/5.png
Number One,6,Tears up,"+1.5 tears, -17.62 range",https://bindingofisaacrebirth.gamepedia.com/Number_One,../assets/images/6.png
Blood of the Martyr,7,DMG up,"Increases Damage by 1, and turns Isaac's tears into blood tears.",https://bindingofisaacrebirth.gamepedia.com/Blood_of_the_Martyr,../assets/images/7.png
Brother Bobby,8,Friends 'till the end,Follows Isaac around shooting normal tears.,https://bindingofisaacrebirth.gamepedia.com/Brother_Bobby,../assets/images/8.png
Skatole,9,Fly love,All types of fly except Boom Fly and Red Boom Fly become passive and slowly move towards Isaac. Does not prevent contact damage.,https://bindingofisaacrebirth.gamepedia.com/Skatole,../assets/images/9.png
Halo of Flies,10,Projectile protection,Spawns two pretty fly familiars that block enemy shots and deal contact damage to enemies.,https://bindingofisaacrebirth.gamepedia.com/Halo_of_Flies,../assets/images/10.png
1up!,11,Extra life,"Gives an extra life. Upon death, you will respawn in the previous room with full health and lose the 1up!.",https://bindingofisaacrebirth.gamepedia.com/1up!,../assets/images/11.png
Magic Mushroom,12,All Stats Up!,"Increases most stats, enlarges Isaac, grants a heart container and restores all health.",https://bindingofisaacrebirth.gamepedia.com/Magic_Mushroom,../assets/images/12.png
The Virus,13,Poison touch,Inflicts poison to enemies who make contact with Isaac. Speed down.,https://bindingofisaacrebirth.gamepedia.com/The_Virus,../assets/images/13.png
Roid Rage,14,Speed and range up,"Increases speed by 0.6, range by 5.25, and tear height by 0.5.",https://bindingofisaacrebirth.gamepedia.com/Roid_Rage,../assets/images/14.png
<3,15,HP up,Grants Isaac one red heart container and fully restores Isaac's health.,https://bindingofisaacrebirth.gamepedia.com/Less_Than_Three,../assets/images/15.png
Raw Liver,16,HP up,Grants 2 Heart Containers and completely restores health.,https://bindingofisaacrebirth.gamepedia.com/Raw_Liver,../assets/images/16.png
Skeleton Key,17,99 keys,Sets your key count to the maximum of 99.,https://bindingofisaacrebirth.gamepedia.com/Skeleton_Key,../assets/images/17.png
A Dollar,18,$$$,Gives Isaac 99 coins. Can be found multiple times in a single playthrough.,https://bindingofisaacrebirth.gamepedia.com/A_Dollar,../assets/images/18.png
Boom!,19,10 bombs,Grants 10 bombs.,https://bindingofisaacrebirth.gamepedia.com/Boom!,../assets/images/19.png
Transcendence,20,We all float down here...,Grants flight.,https://bindingofisaacrebirth.gamepedia.com/Transcendence,../assets/images/20.png
The Compass,21,The end is near,Reveals all special rooms (except secret rooms of any kind).,https://bindingofisaacrebirth.gamepedia.com/The_Compass,../assets/images/21.png
Lunch,22,HP Up,Adds 1 heart container.,https://bindingofisaacrebirth.gamepedia.com/Lunch,../assets/images/22.png
Dinner,23,HP Up,Adds 1 heart container.,https://bindingofisaacrebirth.gamepedia.com/Dinner,../assets/images/23.png
Dessert,24,HP Up,Grants Isaac one full red heart container.,https://bindingofisaacrebirth.gamepedia.com/Dessert,../assets/images/24.png
Breakfast,25,HP up,Grants Isaac one full red heart container.,https://bindingofisaacrebirth.gamepedia.com/Breakfast,../assets/images/25.png
Rotten Meat,26,HP up,Adds one heart container.,https://bindingofisaacrebirth.gamepedia.com/Rotten_Meat,../assets/images/26.png
Wooden Spoon,27,Speed up,Increases speed by 0.3.,https://bindingofisaacrebirth.gamepedia.com/Wooden_Spoon,../assets/images/27.png
The Belt,28,Speed up,Increases speed by 0.3.,https://bindingofisaacrebirth.gamepedia.com/The_Belt,../assets/images/28.png
Mom's Underwear,29,Range up,Increases range.,https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Underwear,../assets/images/29.png
Mom's Heels,30,Range up,Increases range.,https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Heels,../assets/images/30.png
Mom's Lipstick,31,Range up,Increases range and shot height.,https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Lipstick,../assets/images/31.png
Wire Coat Hanger,32,Tears up,Increases Tears by 0.7.,https://bindingofisaacrebirth.gamepedia.com/Wire_Coat_Hanger,../assets/images/32.png
The Bible,33,Temporary Flight,"Upon activation, Isaac gains flight, allowing him to pass over all obstacles in the current room. Instantly kills Mom, Mom's Heart, and It Lives when activated, but will kill Isaac when activated while fighting Satan.",https://bindingofisaacrebirth.gamepedia.com/The_Bible,../assets/images/33.png
The Book of Belial,34,Temporary DMG up,Upon use increases damage by 2 for the current room and by a further +50% if the character also has the Blood of the Martyr.,https://bindingofisaacrebirth.gamepedia.com/The_Book_of_Belial,../assets/images/34.png
The Necronomicon,35,Mass room damage,Damages all enemies in the room significantly.,https://bindingofisaacrebirth.gamepedia.com/The_Necronomicon,../assets/images/35.png
The Poop,36,Plop!,Spawns a pile of poop where the character is standing and knocks nearby monsters back. May yield pickups like regular poop.,https://bindingofisaacrebirth.gamepedia.com/The_Poop,../assets/images/36.png
Mr. Boom,37,Reusable bomb buddy,Drops a large bomb.,https://bindingofisaacrebirth.gamepedia.com/Mr._Boom,../assets/images/37.png
Tammy's Head,38,Reusable tear burst,"Shoots 10 tears in a circle around Isaac, which retain the damage, shot speed, and special effects (such as poison) of Isaac's tears.",https://bindingofisaacrebirth.gamepedia.com/Tammy%27s_Head,../assets/images/38.png
Mom's Bra,39,Mass Fear,"Upon use, petrifies all enemies in the current room for approximately 4 seconds.",https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Bra,../assets/images/39.png
Kamikaze!,40,Become the bomb!,"Creates an explosion in the same area as Isaac, dealing half a heart of damage to him and also damaging all enemies caught in the blast radius.",https://bindingofisaacrebirth.gamepedia.com/Kamikaze!,../assets/images/40.png
Mom's Pad,41,Gross...,"Upon use, inflicts fear to all enemies in the room for 5 seconds.",https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Pad,../assets/images/41.png
Bob's Rotten Head,42,Reusable ranged bomb,"Upon use, Isaac holds a poison bomb which can be thrown towards any of the four cardinal points and explodes on impact.",https://bindingofisaacrebirth.gamepedia.com/Bob%27s_Rotten_Head,../assets/images/42.png
Teleport,44,Teleport!,Teleports you to a random room on the level.,https://bindingofisaacrebirth.gamepedia.com/Teleport,../assets/images/44.png
Yum Heart,45,Reusable Regeneration,Restores 1 whole red heart.,https://bindingofisaacrebirth.gamepedia.com/Yum_Heart,../assets/images/45.png
Lucky Foot,46,Luck up,+1 Luck. Increases chance of winning Shell Game Beggar. (Independent of luck stat),https://bindingofisaacrebirth.gamepedia.com/Lucky_Foot,../assets/images/46.png
Doctor's Remote,47,Reusable Air Strike,"Sets a big red target on the ground (similar to the Epic Fetus item) which can be controlled with tear controls. After 6 seconds or by pressing space again, a huge explosive missile hits it, which damages all enemies caught in its blast radius.",https://bindingofisaacrebirth.gamepedia.com/Doctor%27s_Remote,../assets/images/47.png
Cupid's Arrow,48,Piercing shots,Grants Isaac piercing tears that travel through enemies (but not obstacles) instead of breaking on impact with them.,https://bindingofisaacrebirth.gamepedia.com/Cupid%27s_Arrow,../assets/images/48.png
Shoop Da Whoop!,49,BLLLARRRRGGG!,Fires a laser from Isaac's mouth.,https://bindingofisaacrebirth.gamepedia.com/Shoop_Da_Whoop!,../assets/images/49.png
Steven,50,DMG up,Increases Damage by 1.,https://bindingofisaacrebirth.gamepedia.com/Steven_(Item),../assets/images/50.png
Pentagram,51,DMG up,Increases damage and increases the chance for a Devil or Angel Room to appear.,https://bindingofisaacrebirth.gamepedia.com/Pentagram,../assets/images/51.png
Dr. Fetus,52,???,Tears are replaced by bombs that benefit from bomb-enhancing effects and slide for a fixed time after being fired.,https://bindingofisaacrebirth.gamepedia.com/Dr._Fetus,../assets/images/52.png
Magneto,53,Item snatcher,Pulls pickups towards Isaac.,https://bindingofisaacrebirth.gamepedia.com/Magneto,../assets/images/53.png
Treasure Map,54,Full visible map,"Reveals all rooms for every floor. However, it does not reveal icons or secret rooms.",https://bindingofisaacrebirth.gamepedia.com/Treasure_Map,../assets/images/54.png
Mom's Eye,55,Eye in the back of your head,Allows Isaac to fire tears from the back of his head.,https://bindingofisaacrebirth.gamepedia.com/Mom%27s_Eye,../assets/images/55.png
