Name	Category	ID	Subname	Description	Link	Image
The Sad Onion	I	1	Tears up	Increases Tears by 0.7.	https://bindingofisaacrebirth.gamepedia.com/The_Sad_Onion	../assets/images/items/1.png
The Inner Eye	I	2	Triple shot	Grants triple shot but decreases tears.	https://bindingofisaacrebirth.gamepedia.com/The_Inner_Eye	../assets/images/items/2.png
Spoon Bender	I	3	Homing shots	Grants Isaac homing tears.	https://bindingofisaacrebirth.gamepedia.com/Spoon_Bender	../assets/images/items/3.png
Cricket's Head	I	4	DMG up	Increases damage by 0.5, and multiplies it by 1.5x.	https://bindingofisaacrebirth.gamepedia.com/Cricket%27s_Head	../assets/images/items/4.png
My Reflection	I	5	Boomerang tears	Gives Isaac's tears a boomerang effect, and increases range and shot speed.	https://bindingofisaacrebirth.gamepedia.com/My_Reflection	../assets/images/items/5.png
Number One	I	6	Tears up	+1.5 tears, -17.62 range	https://bindingofisaacrebirth.gamepedia.com/Number_One	../assets/images/items/6.png
Blood of the Martyr	I	7	DMG up	Increases Damage by 1, and turns Isaac's tears into blood tears.	https://bindingofisaacrebirth.gamepedia.com/Blood_of_the_Martyr	../assets/images/items/7.png
Brother Bobby	I	8	Friends 'till the end	Follows Isaac around shooting normal tears.	https://bindingofisaacrebirth.gamepedia.com/Brother_Bobby	../assets/images/items/8.png
Skatole	I	9	Fly love	All types of fly except Boom Fly and Red Boom Fly become passive and slowly move towards Isaac. Does not prevent contact damage.	https://bindingofisaacrebirth.gamepedia.com/Skatole	../assets/images/items/9.png
Halo of Flies	I	10	Projectile protection	Spawns two pretty fly familiars that block enemy shots and deal contact damage to enemies.	https://bindingofisaacrebirth.gamepedia.com/Halo_of_Flies	../assets/images/items/10.png
1up!	I	11	Extra life	Gives an extra life. Upon death, you will respawn in the previous room with full health and lose the 1up!.	https://bindingofisaacrebirth.gamepedia.com/1up!	../assets/images/items/11.png
Magic Mushroom	I	12	All Stats Up!	Increases most stats, enlarges Isaac, grants a heart container and restores all health.	https://bindingofisaacrebirth.gamepedia.com/Magic_Mushroom	../assets/images/items/12.png
The Virus	I	13	Poison touch	Inflicts poison to enemies who make contact with Isaac. Speed down.	https://bindingofisaacrebirth.gamepedia.com/The_Virus	../assets/images/items/13.png
Roid Rage	I	14	Speed and range up	Increases speed by 0.6, range by 5.25, and tear height by 0.5.	https://bindingofisaacrebirth.gamepedia.com/Roid_Rage	../assets/images/items/14.png
<3	I	15	HP up	Grants Isaac one red heart container and fully restores Isaac's health.	https://bindingofisaacrebirth.gamepedia.com/Less_Than_Three	../assets/images/items/15.png
Raw Liver	I	16	HP up	Grants 2 Heart Containers and completely restores health.	https://bindingofisaacrebirth.gamepedia.com/Raw_Liver	../assets/images/items/16.png
Skeleton Key	I	17	99 keys	Sets your key count to the maximum of 99.	https://bindingofisaacrebirth.gamepedia.com/Skeleton_Key	../assets/images/items/17.png
